# Data source: 'C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01'.
# EEG signals' sampling rate: 256 Hz and (checked) duration: 484.5 minutes.
# EEG data usability was assessed by eegFloss v1.0 (GitHub.com/Niloy333/eegFloss)
# using eegUsability model: 'default (v1.0)' in 10-second epochs at 2025-07-06 15:51:50.
# Sleep scores were imported from 'DreamentoScorer.txt'; scoring was performed in 30-second epochs.
# This file contains aggregated sleep and usability scores based on the majority rule.
# Class labels: -1 = Unusable Data; 0-4 = W; N1; N2; N3; REM; 9 = placeholder; (or check 'DreamentoScorer.txt').
# <<<e>>><<<n>>><<<d>>><<<o>>><<<f>>><<<h>>><<<e>>><<<a>>><<<d>>><<<e>>><<<r>>>
Sleep_scores,Start_time_sec,End_time_sec
0,0.00390625,30.0
0,30.00390625,60.0
0,60.00390625,90.0
0,90.00390625,120.0
0,120.00390625,150.0
0,150.00390625,180.0
0,180.00390625,210.0
0,210.00390625,240.0
0,240.00390625,270.0
0,270.00390625,300.0
0,300.00390625,330.0
-1,330.00390625,360.0
0,360.00390625,390.0
0,390.00390625,420.0
0,420.00390625,450.0
-1,450.00390625,480.0
-1,480.00390625,510.0
-1,510.00390625,540.0
0,540.00390625,570.0
0,570.00390625,600.0
0,600.00390625,630.0
-1,630.00390625,660.0
-1,660.00390625,690.0
-1,690.00390625,720.0
-1,720.00390625,750.0
-1,750.00390625,780.0
-1,780.00390625,810.0
-1,810.00390625,840.0
-1,840.00390625,870.0
-1,870.00390625,900.0
-1,900.00390625,930.0
-1,930.00390625,960.0
-1,960.00390625,990.0
-1,990.00390625,1020.0
-1,1020.00390625,1050.0
-1,1050.00390625,1080.0
-1,1080.00390625,1110.0
-1,1110.00390625,1140.0
-1,1140.00390625,1170.0
-1,1170.00390625,1200.0
-1,1200.00390625,1230.0
-1,1230.00390625,1260.0
-1,1260.00390625,1290.0
-1,1290.00390625,1320.0
-1,1320.00390625,1350.0
-1,1350.00390625,1380.0
-1,1380.00390625,1410.0
-1,1410.00390625,1440.0
-1,1440.00390625,1470.0
0,1470.00390625,1500.0
0,1500.00390625,1530.0
0,1530.00390625,1560.0
-1,1560.00390625,1590.0
-1,1590.00390625,1620.0
0,1620.00390625,1650.0
0,1650.00390625,1680.0
0,1680.00390625,1710.0
0,1710.00390625,1740.0
-1,1740.00390625,1770.0
-1,1770.00390625,1800.0
-1,1800.00390625,1830.0
-1,1830.00390625,1860.0
0,1860.00390625,1890.0
-1,1890.00390625,1920.0
0,1920.00390625,1950.0
-1,1950.00390625,1980.0
-1,1980.00390625,2010.0
-1,2010.00390625,2040.0
-1,2040.00390625,2070.0
-1,2070.00390625,2100.0
-1,2100.00390625,2130.0
-1,2130.00390625,2160.0
-1,2160.00390625,2190.0
-1,2190.00390625,2220.0
-1,2220.00390625,2250.0
-1,2250.00390625,2280.0
-1,2280.00390625,2310.0
-1,2310.00390625,2340.0
-1,2340.00390625,2370.0
-1,2370.00390625,2400.0
-1,2400.00390625,2430.0
0,2430.00390625,2460.0
0,2460.00390625,2490.0
0,2490.00390625,2520.0
2,2520.00390625,2550.0
2,2550.00390625,2580.0
2,2580.00390625,2610.0
2,2610.00390625,2640.0
2,2640.00390625,2670.0
2,2670.00390625,2700.0
2,2700.00390625,2730.0
2,2730.00390625,2760.0
3,2760.00390625,2790.0
3,2790.00390625,2820.0
3,2820.00390625,2850.0
-1,2850.00390625,2880.0
0,2880.00390625,2910.0
0,2910.00390625,2940.0
0,2940.00390625,2970.0
-1,2970.00390625,3000.0
-1,3000.00390625,3030.0
-1,3030.00390625,3060.0
-1,3060.00390625,3090.0
-1,3090.00390625,3120.0
-1,3120.00390625,3150.0
-1,3150.00390625,3180.0
-1,3180.00390625,3210.0
-1,3210.00390625,3240.0
-1,3240.00390625,3270.0
-1,3270.00390625,3300.0
-1,3300.00390625,3330.0
0,3330.00390625,3360.0
0,3360.00390625,3390.0
0,3390.00390625,3420.0
0,3420.00390625,3450.0
0,3450.00390625,3480.0
0,3480.00390625,3510.0
0,3510.00390625,3540.0
0,3540.00390625,3570.0
0,3570.00390625,3600.0
0,3600.00390625,3630.0
0,3630.00390625,3660.0
0,3660.00390625,3690.0
0,3690.00390625,3720.0
0,3720.00390625,3750.0
0,3750.00390625,3780.0
0,3780.00390625,3810.0
0,3810.00390625,3840.0
3,3840.00390625,3870.0
3,3870.00390625,3900.0
3,3900.00390625,3930.0
3,3930.00390625,3960.0
3,3960.00390625,3990.0
3,3990.00390625,4020.0
3,4020.00390625,4050.0
3,4050.00390625,4080.0
3,4080.00390625,4110.0
3,4110.00390625,4140.0
3,4140.00390625,4170.0
3,4170.00390625,4200.0
0,4200.00390625,4230.0
3,4230.00390625,4260.0
3,4260.00390625,4290.0
3,4290.00390625,4320.0
0,4320.00390625,4350.0
0,4350.00390625,4380.0
0,4380.00390625,4410.0
-1,4410.00390625,4440.0
-1,4440.00390625,4470.0
3,4470.00390625,4500.0
3,4500.00390625,4530.0
3,4530.00390625,4560.0
3,4560.00390625,4590.0
0,4590.00390625,4620.0
0,4620.00390625,4650.0
0,4650.00390625,4680.0
0,4680.00390625,4710.0
3,4710.00390625,4740.0
3,4740.00390625,4770.0
3,4770.00390625,4800.0
3,4800.00390625,4830.0
3,4830.00390625,4860.0
3,4860.00390625,4890.0
3,4890.00390625,4920.0
3,4920.00390625,4950.0
3,4950.00390625,4980.0
3,4980.00390625,5010.0
0,5010.00390625,5040.0
0,5040.00390625,5070.0
0,5070.00390625,5100.0
0,5100.00390625,5130.0
3,5130.00390625,5160.0
0,5160.00390625,5190.0
0,5190.00390625,5220.0
3,5220.00390625,5250.0
3,5250.00390625,5280.0
3,5280.00390625,5310.0
3,5310.00390625,5340.0
3,5340.00390625,5370.0
3,5370.00390625,5400.0
0,5400.00390625,5430.0
0,5430.00390625,5460.0
0,5460.00390625,5490.0
0,5490.00390625,5520.0
0,5520.00390625,5550.0
0,5550.00390625,5580.0
0,5580.00390625,5610.0
0,5610.00390625,5640.0
0,5640.00390625,5670.0
0,5670.00390625,5700.0
0,5700.00390625,5730.0
0,5730.00390625,5760.0
0,5760.00390625,5790.0
0,5790.00390625,5820.0
0,5820.00390625,5850.0
0,5850.00390625,5880.0
0,5880.00390625,5910.0
2,5910.00390625,5940.0
2,5940.00390625,5970.0
2,5970.00390625,6000.0
0,6000.00390625,6030.0
0,6030.00390625,6060.0
4,6060.00390625,6090.0
2,6090.00390625,6120.0
4,6120.00390625,6150.0
1,6150.00390625,6180.0
1,6180.00390625,6210.0
2,6210.00390625,6240.0
0,6240.00390625,6270.0
0,6270.00390625,6300.0
0,6300.00390625,6330.0
0,6330.00390625,6360.0
0,6360.00390625,6390.0
0,6390.00390625,6420.0
0,6420.00390625,6450.0
0,6450.00390625,6480.0
2,6480.00390625,6510.0
2,6510.00390625,6540.0
2,6540.00390625,6570.0
2,6570.00390625,6600.0
2,6600.00390625,6630.0
2,6630.00390625,6660.0
2,6660.00390625,6690.0
2,6690.00390625,6720.0
2,6720.00390625,6750.0
2,6750.00390625,6780.0
2,6780.00390625,6810.0
2,6810.00390625,6840.0
2,6840.00390625,6870.0
2,6870.00390625,6900.0
0,6900.00390625,6930.0
0,6930.00390625,6960.0
0,6960.00390625,6990.0
0,6990.00390625,7020.0
0,7020.00390625,7050.0
0,7050.00390625,7080.0
0,7080.00390625,7110.0
0,7110.00390625,7140.0
-1,7140.00390625,7170.0
0,7170.00390625,7200.0
0,7200.00390625,7230.0
0,7230.00390625,7260.0
0,7260.00390625,7290.0
0,7290.00390625,7320.0
0,7320.00390625,7350.0
3,7350.00390625,7380.0
3,7380.00390625,7410.0
3,7410.00390625,7440.0
3,7440.00390625,7470.0
3,7470.00390625,7500.0
3,7500.00390625,7530.0
3,7530.00390625,7560.0
3,7560.00390625,7590.0
3,7590.00390625,7620.0
3,7620.00390625,7650.0
3,7650.00390625,7680.0
3,7680.00390625,7710.0
3,7710.00390625,7740.0
3,7740.00390625,7770.0
3,7770.00390625,7800.0
3,7800.00390625,7830.0
3,7830.00390625,7860.0
3,7860.00390625,7890.0
3,7890.00390625,7920.0
3,7920.00390625,7950.0
3,7950.00390625,7980.0
3,7980.00390625,8010.0
3,8010.00390625,8040.0
3,8040.00390625,8070.0
0,8070.00390625,8100.0
0,8100.00390625,8130.0
-1,8130.00390625,8160.0
3,8160.00390625,8190.0
3,8190.00390625,8220.0
3,8220.00390625,8250.0
3,8250.00390625,8280.0
3,8280.00390625,8310.0
3,8310.00390625,8340.0
3,8340.00390625,8370.0
3,8370.00390625,8400.0
3,8400.00390625,8430.0
3,8430.00390625,8460.0
3,8460.00390625,8490.0
3,8490.00390625,8520.0
3,8520.00390625,8550.0
3,8550.00390625,8580.0
3,8580.00390625,8610.0
3,8610.00390625,8640.0
3,8640.00390625,8670.0
3,8670.00390625,8700.0
3,8700.00390625,8730.0
3,8730.00390625,8760.0
3,8760.00390625,8790.0
3,8790.00390625,8820.0
3,8820.00390625,8850.0
3,8850.00390625,8880.0
3,8880.00390625,8910.0
3,8910.00390625,8940.0
3,8940.00390625,8970.0
3,8970.00390625,9000.0
3,9000.00390625,9030.0
3,9030.00390625,9060.0
3,9060.00390625,9090.0
3,9090.00390625,9120.0
3,9120.00390625,9150.0
3,9150.00390625,9180.0
3,9180.00390625,9210.0
3,9210.00390625,9240.0
3,9240.00390625,9270.0
3,9270.00390625,9300.0
3,9300.00390625,9330.0
3,9330.00390625,9360.0
3,9360.00390625,9390.0
3,9390.00390625,9420.0
3,9420.00390625,9450.0
3,9450.00390625,9480.0
3,9480.00390625,9510.0
3,9510.00390625,9540.0
0,9540.00390625,9570.0
-1,9570.00390625,9600.0
0,9600.00390625,9630.0
0,9630.00390625,9660.0
0,9660.00390625,9690.0
0,9690.00390625,9720.0
0,9720.00390625,9750.0
0,9750.00390625,9780.0
3,9780.00390625,9810.0
3,9810.00390625,9840.0
0,9840.00390625,9870.0
0,9870.00390625,9900.0
0,9900.00390625,9930.0
0,9930.00390625,9960.0
0,9960.00390625,9990.0
0,9990.00390625,10020.0
0,10020.00390625,10050.0
0,10050.00390625,10080.0
3,10080.00390625,10110.0
0,10110.00390625,10140.0
0,10140.00390625,10170.0
3,10170.00390625,10200.0
3,10200.00390625,10230.0
3,10230.00390625,10260.0
3,10260.00390625,10290.0
3,10290.00390625,10320.0
3,10320.00390625,10350.0
3,10350.00390625,10380.0
3,10380.00390625,10410.0
3,10410.00390625,10440.0
2,10440.00390625,10470.0
3,10470.00390625,10500.0
0,10500.00390625,10530.0
2,10530.00390625,10560.0
2,10560.00390625,10590.0
3,10590.00390625,10620.0
3,10620.00390625,10650.0
2,10650.00390625,10680.0
2,10680.00390625,10710.0
3,10710.00390625,10740.0
3,10740.00390625,10770.0
3,10770.00390625,10800.0
3,10800.00390625,10830.0
3,10830.00390625,10860.0
0,10860.00390625,10890.0
3,10890.00390625,10920.0
3,10920.00390625,10950.0
3,10950.00390625,10980.0
3,10980.00390625,11010.0
3,11010.00390625,11040.0
3,11040.00390625,11070.0
3,11070.00390625,11100.0
3,11100.00390625,11130.0
3,11130.00390625,11160.0
3,11160.00390625,11190.0
3,11190.00390625,11220.0
3,11220.00390625,11250.0
0,11250.00390625,11280.0
0,11280.00390625,11310.0
-1,11310.00390625,11340.0
0,11340.00390625,11370.0
0,11370.00390625,11400.0
-1,11400.00390625,11430.0
-1,11430.00390625,11460.0
-1,11460.00390625,11490.0
-1,11490.00390625,11520.0
-1,11520.00390625,11550.0
-1,11550.00390625,11580.0
0,11580.00390625,11610.0
-1,11610.00390625,11640.0
-1,11640.00390625,11670.0
-1,11670.00390625,11700.0
-1,11700.00390625,11730.0
-1,11730.00390625,11760.0
-1,11760.00390625,11790.0
-1,11790.00390625,11820.0
-1,11820.00390625,11850.0
-1,11850.00390625,11880.0
-1,11880.00390625,11910.0
-1,11910.00390625,11940.0
-1,11940.00390625,11970.0
-1,11970.00390625,12000.0
-1,12000.00390625,12030.0
-1,12030.00390625,12060.0
0,12060.00390625,12090.0
-1,12090.00390625,12120.0
-1,12120.00390625,12150.0
0,12150.00390625,12180.0
-1,12180.00390625,12210.0
-1,12210.00390625,12240.0
0,12240.00390625,12270.0
0,12270.00390625,12300.0
-1,12300.00390625,12330.0
-1,12330.00390625,12360.0
-1,12360.00390625,12390.0
-1,12390.00390625,12420.0
-1,12420.00390625,12450.0
0,12450.00390625,12480.0
0,12480.00390625,12510.0
-1,12510.00390625,12540.0
-1,12540.00390625,12570.0
-1,12570.00390625,12600.0
-1,12600.00390625,12630.0
-1,12630.00390625,12660.0
-1,12660.00390625,12690.0
-1,12690.00390625,12720.0
-1,12720.00390625,12750.0
-1,12750.00390625,12780.0
0,12780.00390625,12810.0
0,12810.00390625,12840.0
0,12840.00390625,12870.0
3,12870.00390625,12900.0
3,12900.00390625,12930.0
3,12930.00390625,12960.0
3,12960.00390625,12990.0
3,12990.00390625,13020.0
3,13020.00390625,13050.0
3,13050.00390625,13080.0
3,13080.00390625,13110.0
0,13110.00390625,13140.0
0,13140.00390625,13170.0
0,13170.00390625,13200.0
0,13200.00390625,13230.0
0,13230.00390625,13260.0
0,13260.00390625,13290.0
-1,13290.00390625,13320.0
-1,13320.00390625,13350.0
-1,13350.00390625,13380.0
-1,13380.00390625,13410.0
-1,13410.00390625,13440.0
-1,13440.00390625,13470.0
0,13470.00390625,13500.0
-1,13500.00390625,13530.0
-1,13530.00390625,13560.0
-1,13560.00390625,13590.0
-1,13590.00390625,13620.0
-1,13620.00390625,13650.0
-1,13650.00390625,13680.0
