Data_source,C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01
Sleep_score_source,atrifact_rejected_sleep_scores.csv
Scores_duration_min,484.5
Lights_out_sec,170
Lights_on_sec,28890
TIB_min,479.0
Scorable_%,51.67
SPT_min,329.5
TST_min,94.5
N1_min,1.0
N1_%,1.06
N2_min,16.0
N2_%,16.93
N3_min,76.5
N3_%,80.95
REM_min,1.0
REM_%,1.06
NREM_min,93.5
NREM_%,98.94
WASO_min,109.5
SOL_min,39.5
N1_latency_min,100.0
N2_latency_min,39.5
N3_latency_min,43.5
REM_latency_min,98.5
PSW_min,110.0
SE_%,19.73
SME_%,28.68
Reference,GitHub.com/Niloy333/eegFloss
