# Data source: 'C:\Sciebo_files\eegFloss_v1.0\0.eegFloss_v1.0_beta\sample_data\Zmax\sub01'.
# EEG signals' sampling rate: 256 Hz and (checked) duration: 484.5 minutes.
# EEG data usability was assessed by eegFloss v1.0 (GitHub.com/Niloy333/eegFloss)
# using eegUsability model: 'default (v1.0)' in 10-second epochs at 2025-07-06 15:51:40.
# Class labels: 0 = Good Data; 1 = No Data; 2 = High Noise; 3 = Spiky Noise; 4 = M-shaped Noise.
# This file contains the usability scores of 2907 samples and [EEG L; EEG R] channels.
# <<<e>>><<<n>>><<<d>>><<<o>>><<<f>>><<<h>>><<<e>>><<<a>>><<<d>>><<<e>>><<<r>>>
EEG L,EEG R,Start_time_sec,End_time_sec
0,0,0.00390625,10.0
0,0,10.00390625,20.0
0,0,20.00390625,30.0
0,0,30.00390625,40.0
0,0,40.00390625,50.0
0,0,50.00390625,60.0
0,0,60.00390625,70.0
0,0,70.00390625,80.0
0,3,80.00390625,90.0
0,0,90.00390625,100.0
0,3,100.00390625,110.0
0,0,110.00390625,120.0
0,3,120.00390625,130.0
0,3,130.00390625,140.0
0,3,140.00390625,150.0
0,0,150.00390625,160.0
0,0,160.00390625,170.0
0,0,170.00390625,180.0
0,0,180.00390625,190.0
0,0,190.00390625,200.0
0,3,200.00390625,210.0
0,0,210.00390625,220.0
0,0,220.00390625,230.0
0,0,230.00390625,240.0
0,0,240.00390625,250.0
0,0,250.00390625,260.0
0,0,260.00390625,270.0
0,0,270.00390625,280.0
0,0,280.00390625,290.0
0,0,290.00390625,300.0
0,0,300.00390625,310.0
0,0,310.00390625,320.0
2,2,320.00390625,330.0
2,2,330.00390625,340.0
0,0,340.00390625,350.0
2,2,350.00390625,360.0
0,0,360.00390625,370.0
0,0,370.00390625,380.0
2,2,380.00390625,390.0
2,2,390.00390625,400.0
0,0,400.00390625,410.0
0,0,410.00390625,420.0
0,0,420.00390625,430.0
0,0,430.00390625,440.0
2,2,440.00390625,450.0
0,0,450.00390625,460.0
2,2,460.00390625,470.0
2,2,470.00390625,480.0
2,2,480.00390625,490.0
2,2,490.00390625,500.0
2,2,500.00390625,510.0
2,2,510.00390625,520.0
2,2,520.00390625,530.0
0,0,530.00390625,540.0
0,0,540.00390625,550.0
0,0,550.00390625,560.0
0,0,560.00390625,570.0
0,0,570.00390625,580.0
0,0,580.00390625,590.0
0,0,590.00390625,600.0
0,0,600.00390625,610.0
0,0,610.00390625,620.0
2,2,620.00390625,630.0
2,2,630.00390625,640.0
2,2,640.00390625,650.0
2,2,650.00390625,660.0
0,0,660.00390625,670.0
1,1,670.00390625,680.0
1,1,680.00390625,690.0
1,1,690.00390625,700.0
1,1,700.00390625,710.0
1,1,710.00390625,720.0
0,1,720.00390625,730.0
1,1,730.00390625,740.0
1,1,740.00390625,750.0
1,1,750.00390625,760.0
1,1,760.00390625,770.0
1,1,770.00390625,780.0
1,1,780.00390625,790.0
1,1,790.00390625,800.0
1,1,800.00390625,810.0
1,1,810.00390625,820.0
1,1,820.00390625,830.0
1,1,830.00390625,840.0
1,1,840.00390625,850.0
1,1,850.00390625,860.0
1,1,860.00390625,870.0
1,1,870.00390625,880.0
1,1,880.00390625,890.0
1,1,890.00390625,900.0
1,1,900.00390625,910.0
1,1,910.00390625,920.0
1,1,920.00390625,930.0
1,1,930.00390625,940.0
1,1,940.00390625,950.0
1,1,950.00390625,960.0
1,1,960.00390625,970.0
1,1,970.00390625,980.0
1,1,980.00390625,990.0
1,1,990.00390625,1000.0
1,1,1000.00390625,1010.0
1,1,1010.00390625,1020.0
1,1,1020.00390625,1030.0
1,1,1030.00390625,1040.0
1,1,1040.00390625,1050.0
1,1,1050.00390625,1060.0
1,1,1060.00390625,1070.0
1,1,1070.00390625,1080.0
1,1,1080.00390625,1090.0
1,1,1090.00390625,1100.0
1,1,1100.00390625,1110.0
1,1,1110.00390625,1120.0
1,1,1120.00390625,1130.0
1,1,1130.00390625,1140.0
1,1,1140.00390625,1150.0
1,1,1150.00390625,1160.0
1,1,1160.00390625,1170.0
1,1,1170.00390625,1180.0
1,1,1180.00390625,1190.0
1,1,1190.00390625,1200.0
1,1,1200.00390625,1210.0
1,1,1210.00390625,1220.0
1,1,1220.00390625,1230.0
1,1,1230.00390625,1240.0
1,1,1240.00390625,1250.0
1,1,1250.00390625,1260.0
1,1,1260.00390625,1270.0
1,1,1270.00390625,1280.0
1,1,1280.00390625,1290.0
1,1,1290.00390625,1300.0
1,1,1300.00390625,1310.0
1,1,1310.00390625,1320.0
1,1,1320.00390625,1330.0
1,1,1330.00390625,1340.0
1,1,1340.00390625,1350.0
1,1,1350.00390625,1360.0
1,1,1360.00390625,1370.0
1,1,1370.00390625,1380.0
1,1,1380.00390625,1390.0
1,1,1390.00390625,1400.0
1,1,1400.00390625,1410.0
1,1,1410.00390625,1420.0
1,1,1420.00390625,1430.0
1,1,1430.00390625,1440.0
1,1,1440.00390625,1450.0
1,1,1450.00390625,1460.0
0,0,1460.00390625,1470.0
0,0,1470.00390625,1480.0
0,0,1480.00390625,1490.0
0,0,1490.00390625,1500.0
0,0,1500.00390625,1510.0
0,0,1510.00390625,1520.0
0,0,1520.00390625,1530.0
0,0,1530.00390625,1540.0
0,0,1540.00390625,1550.0
0,0,1550.00390625,1560.0
2,2,1560.00390625,1570.0
2,2,1570.00390625,1580.0
0,0,1580.00390625,1590.0
1,1,1590.00390625,1600.0
1,1,1600.00390625,1610.0
1,1,1610.00390625,1620.0
0,2,1620.00390625,1630.0
0,2,1630.00390625,1640.0
2,2,1640.00390625,1650.0
0,0,1650.00390625,1660.0
0,0,1660.00390625,1670.0
0,0,1670.00390625,1680.0
0,0,1680.00390625,1690.0
0,0,1690.00390625,1700.0
0,0,1700.00390625,1710.0
0,0,1710.00390625,1720.0
0,0,1720.00390625,1730.0
2,2,1730.00390625,1740.0
2,2,1740.00390625,1750.0
2,2,1750.00390625,1760.0
2,2,1760.00390625,1770.0
2,2,1770.00390625,1780.0
2,2,1780.00390625,1790.0
2,2,1790.00390625,1800.0
2,2,1800.00390625,1810.0
2,2,1810.00390625,1820.0
2,2,1820.00390625,1830.0
2,2,1830.00390625,1840.0
2,2,1840.00390625,1850.0
2,2,1850.00390625,1860.0
0,0,1860.00390625,1870.0
0,0,1870.00390625,1880.0
2,2,1880.00390625,1890.0
2,2,1890.00390625,1900.0
0,0,1900.00390625,1910.0
2,2,1910.00390625,1920.0
0,0,1920.00390625,1930.0
0,0,1930.00390625,1940.0
0,0,1940.00390625,1950.0
0,0,1950.00390625,1960.0
2,2,1960.00390625,1970.0
2,2,1970.00390625,1980.0
2,2,1980.00390625,1990.0
2,2,1990.00390625,2000.0
2,2,2000.00390625,2010.0
2,2,2010.00390625,2020.0
2,2,2020.00390625,2030.0
2,2,2030.00390625,2040.0
2,2,2040.00390625,2050.0
2,2,2050.00390625,2060.0
2,2,2060.00390625,2070.0
2,2,2070.00390625,2080.0
2,2,2080.00390625,2090.0
2,2,2090.00390625,2100.0
2,2,2100.00390625,2110.0
2,2,2110.00390625,2120.0
2,2,2120.00390625,2130.0
2,2,2130.00390625,2140.0
2,2,2140.00390625,2150.0
2,2,2150.00390625,2160.0
2,2,2160.00390625,2170.0
2,2,2170.00390625,2180.0
2,2,2180.00390625,2190.0
2,2,2190.00390625,2200.0
2,2,2200.00390625,2210.0
2,2,2210.00390625,2220.0
2,2,2220.00390625,2230.0
2,2,2230.00390625,2240.0
2,2,2240.00390625,2250.0
2,2,2250.00390625,2260.0
2,2,2260.00390625,2270.0
2,2,2270.00390625,2280.0
2,2,2280.00390625,2290.0
2,2,2290.00390625,2300.0
2,2,2300.00390625,2310.0
2,2,2310.00390625,2320.0
2,2,2320.00390625,2330.0
2,2,2330.00390625,2340.0
2,2,2340.00390625,2350.0
2,2,2350.00390625,2360.0
2,2,2360.00390625,2370.0
2,2,2370.00390625,2380.0
2,2,2380.00390625,2390.0
2,2,2390.00390625,2400.0
2,2,2400.00390625,2410.0
2,2,2410.00390625,2420.0
0,0,2420.00390625,2430.0
0,0,2430.00390625,2440.0
0,0,2440.00390625,2450.0
0,0,2450.00390625,2460.0
0,0,2460.00390625,2470.0
0,0,2470.00390625,2480.0
0,0,2480.00390625,2490.0
0,0,2490.00390625,2500.0
0,0,2500.00390625,2510.0
0,0,2510.00390625,2520.0
0,0,2520.00390625,2530.0
0,0,2530.00390625,2540.0
0,0,2540.00390625,2550.0
0,0,2550.00390625,2560.0
0,0,2560.00390625,2570.0
0,0,2570.00390625,2580.0
0,0,2580.00390625,2590.0
0,0,2590.00390625,2600.0
0,0,2600.00390625,2610.0
0,0,2610.00390625,2620.0
0,0,2620.00390625,2630.0
0,0,2630.00390625,2640.0
0,0,2640.00390625,2650.0
0,0,2650.00390625,2660.0
0,0,2660.00390625,2670.0
0,0,2670.00390625,2680.0
0,0,2680.00390625,2690.0
0,0,2690.00390625,2700.0
0,0,2700.00390625,2710.0
0,0,2710.00390625,2720.0
0,0,2720.00390625,2730.0
0,0,2730.00390625,2740.0
0,0,2740.00390625,2750.0
0,0,2750.00390625,2760.0
0,0,2760.00390625,2770.0
0,0,2770.00390625,2780.0
0,0,2780.00390625,2790.0
0,0,2790.00390625,2800.0
0,0,2800.00390625,2810.0
0,0,2810.00390625,2820.0
0,0,2820.00390625,2830.0
0,0,2830.00390625,2840.0
0,0,2840.00390625,2850.0
0,0,2850.00390625,2860.0
2,2,2860.00390625,2870.0
2,2,2870.00390625,2880.0
2,2,2880.00390625,2890.0
0,0,2890.00390625,2900.0
0,0,2900.00390625,2910.0
0,0,2910.00390625,2920.0
0,0,2920.00390625,2930.0
0,0,2930.00390625,2940.0
0,0,2940.00390625,2950.0
0,0,2950.00390625,2960.0
0,0,2960.00390625,2970.0
2,2,2970.00390625,2980.0
2,2,2980.00390625,2990.0
2,2,2990.00390625,3000.0
2,2,3000.00390625,3010.0
2,2,3010.00390625,3020.0
2,2,3020.00390625,3030.0
2,2,3030.00390625,3040.0
2,2,3040.00390625,3050.0
2,2,3050.00390625,3060.0
2,2,3060.00390625,3070.0
2,2,3070.00390625,3080.0
2,2,3080.00390625,3090.0
2,2,3090.00390625,3100.0
0,0,3100.00390625,3110.0
1,1,3110.00390625,3120.0
1,1,3120.00390625,3130.0
1,1,3130.00390625,3140.0
1,1,3140.00390625,3150.0
1,1,3150.00390625,3160.0
0,0,3160.00390625,3170.0
2,2,3170.00390625,3180.0
2,2,3180.00390625,3190.0
2,2,3190.00390625,3200.0
2,2,3200.00390625,3210.0
2,2,3210.00390625,3220.0
2,2,3220.00390625,3230.0
2,2,3230.00390625,3240.0
2,2,3240.00390625,3250.0
2,2,3250.00390625,3260.0
2,2,3260.00390625,3270.0
2,2,3270.00390625,3280.0
2,2,3280.00390625,3290.0
2,2,3290.00390625,3300.0
2,2,3300.00390625,3310.0
2,2,3310.00390625,3320.0
2,2,3320.00390625,3330.0
2,2,3330.00390625,3340.0
0,0,3340.00390625,3350.0
0,0,3350.00390625,3360.0
0,0,3360.00390625,3370.0
0,0,3370.00390625,3380.0
0,0,3380.00390625,3390.0
0,0,3390.00390625,3400.0
0,0,3400.00390625,3410.0
0,0,3410.00390625,3420.0
0,0,3420.00390625,3430.0
0,0,3430.00390625,3440.0
0,0,3440.00390625,3450.0
0,0,3450.00390625,3460.0
0,0,3460.00390625,3470.0
0,0,3470.00390625,3480.0
0,3,3480.00390625,3490.0
0,0,3490.00390625,3500.0
0,0,3500.00390625,3510.0
0,0,3510.00390625,3520.0
0,0,3520.00390625,3530.0
0,0,3530.00390625,3540.0
0,0,3540.00390625,3550.0
3,3,3550.00390625,3560.0
0,0,3560.00390625,3570.0
0,0,3570.00390625,3580.0
0,0,3580.00390625,3590.0
0,0,3590.00390625,3600.0
0,0,3600.00390625,3610.0
0,0,3610.00390625,3620.0
0,0,3620.00390625,3630.0
0,0,3630.00390625,3640.0
0,0,3640.00390625,3650.0
0,0,3650.00390625,3660.0
0,0,3660.00390625,3670.0
0,0,3670.00390625,3680.0
0,0,3680.00390625,3690.0
0,0,3690.00390625,3700.0
0,0,3700.00390625,3710.0
0,0,3710.00390625,3720.0
0,0,3720.00390625,3730.0
0,0,3730.00390625,3740.0
0,0,3740.00390625,3750.0
0,0,3750.00390625,3760.0
0,0,3760.00390625,3770.0
0,0,3770.00390625,3780.0
0,2,3780.00390625,3790.0
0,0,3790.00390625,3800.0
0,0,3800.00390625,3810.0
0,0,3810.00390625,3820.0
0,0,3820.00390625,3830.0
0,0,3830.00390625,3840.0
0,0,3840.00390625,3850.0
0,0,3850.00390625,3860.0
0,0,3860.00390625,3870.0
0,0,3870.00390625,3880.0
0,0,3880.00390625,3890.0
0,0,3890.00390625,3900.0
0,0,3900.00390625,3910.0
0,0,3910.00390625,3920.0
0,0,3920.00390625,3930.0
0,0,3930.00390625,3940.0
0,0,3940.00390625,3950.0
0,0,3950.00390625,3960.0
0,0,3960.00390625,3970.0
0,0,3970.00390625,3980.0
0,0,3980.00390625,3990.0
0,0,3990.00390625,4000.0
0,0,4000.00390625,4010.0
0,0,4010.00390625,4020.0
0,0,4020.00390625,4030.0
0,0,4030.00390625,4040.0
0,0,4040.00390625,4050.0
0,0,4050.00390625,4060.0
0,0,4060.00390625,4070.0
0,0,4070.00390625,4080.0
0,0,4080.00390625,4090.0
0,0,4090.00390625,4100.0
0,0,4100.00390625,4110.0
0,0,4110.00390625,4120.0
0,0,4120.00390625,4130.0
0,0,4130.00390625,4140.0
0,0,4140.00390625,4150.0
0,0,4150.00390625,4160.0
0,0,4160.00390625,4170.0
0,0,4170.00390625,4180.0
0,0,4180.00390625,4190.0
0,0,4190.00390625,4200.0
0,0,4200.00390625,4210.0
0,0,4210.00390625,4220.0
0,0,4220.00390625,4230.0
0,0,4230.00390625,4240.0
0,0,4240.00390625,4250.0
0,0,4250.00390625,4260.0
0,0,4260.00390625,4270.0
0,0,4270.00390625,4280.0
0,0,4280.00390625,4290.0
0,0,4290.00390625,4300.0
0,0,4300.00390625,4310.0
0,0,4310.00390625,4320.0
2,0,4320.00390625,4330.0
0,0,4330.00390625,4340.0
2,2,4340.00390625,4350.0
0,0,4350.00390625,4360.0
2,2,4360.00390625,4370.0
2,0,4370.00390625,4380.0
0,0,4380.00390625,4390.0
0,0,4390.00390625,4400.0
0,0,4400.00390625,4410.0
2,2,4410.00390625,4420.0
2,2,4420.00390625,4430.0
2,2,4430.00390625,4440.0
2,2,4440.00390625,4450.0
2,2,4450.00390625,4460.0
2,2,4460.00390625,4470.0
2,0,4470.00390625,4480.0
2,2,4480.00390625,4490.0
2,0,4490.00390625,4500.0
2,0,4500.00390625,4510.0
2,0,4510.00390625,4520.0
2,2,4520.00390625,4530.0
2,0,4530.00390625,4540.0
2,2,4540.00390625,4550.0
0,0,4550.00390625,4560.0
2,0,4560.00390625,4570.0
2,0,4570.00390625,4580.0
2,2,4580.00390625,4590.0
2,0,4590.00390625,4600.0
0,0,4600.00390625,4610.0
2,0,4610.00390625,4620.0
2,0,4620.00390625,4630.0
2,0,4630.00390625,4640.0
0,0,4640.00390625,4650.0
0,0,4650.00390625,4660.0
0,0,4660.00390625,4670.0
2,0,4670.00390625,4680.0
2,0,4680.00390625,4690.0
2,0,4690.00390625,4700.0
2,0,4700.00390625,4710.0
0,0,4710.00390625,4720.0
0,0,4720.00390625,4730.0
2,0,4730.00390625,4740.0
0,0,4740.00390625,4750.0
0,0,4750.00390625,4760.0
0,0,4760.00390625,4770.0
0,0,4770.00390625,4780.0
2,0,4780.00390625,4790.0
0,0,4790.00390625,4800.0
0,0,4800.00390625,4810.0
0,0,4810.00390625,4820.0
0,0,4820.00390625,4830.0
2,0,4830.00390625,4840.0
0,0,4840.00390625,4850.0
0,0,4850.00390625,4860.0
0,0,4860.00390625,4870.0
2,0,4870.00390625,4880.0
0,0,4880.00390625,4890.0
0,0,4890.00390625,4900.0
0,0,4900.00390625,4910.0
2,0,4910.00390625,4920.0
0,0,4920.00390625,4930.0
0,0,4930.00390625,4940.0
0,0,4940.00390625,4950.0
0,0,4950.00390625,4960.0
2,0,4960.00390625,4970.0
2,0,4970.00390625,4980.0
2,0,4980.00390625,4990.0
0,0,4990.00390625,5000.0
2,0,5000.00390625,5010.0
0,0,5010.00390625,5020.0
0,0,5020.00390625,5030.0
0,0,5030.00390625,5040.0
0,0,5040.00390625,5050.0
